transcript_id,ensembl_name,isoform_label,aa_length,n_exons,biotype,notes,contrast,AveExpr,logFC,t,P.Value,adj.P.Val
ENST00000496542.1,FN1-226,retained intron,NA,2,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,1.04511524206029,-1.49806262316139,-1.75800710149688,0.159667738857653,0.744555253786745
ENST00000469569.1,FN1-216,retained intron,NA,2,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,2.5284731132577,-1.14400506629954,-1.42596064748701,0.232800163110012,0.749248111424516
ENST00000480024.1,FN1-220,retained intron,NA,2,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,3.92642207476327,-0.485718093778352,-1.32319685224661,0.261890870905215,0.753072201556923
ENST00000473614.1,FN1-218,retained intron,NA,2,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,2.60797001200891,-0.595485758567033,-1.32215544159433,0.26220362879194,0.753072201556923
ENST00000438981.1,FN1-210,FN1 truncated (very short),241,4,protein_coding,241 aa fragment; unlikely to assemble into fibrillar FN,vsmc_C224Y_cluster_CAD_vs_ISO,-3.13411476257514,3.44364248533926,0.415786425368464,0.700625381697274,0.842904518331016
ENST00000498719.1,FN1-227,retained intron,NA,2,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,2.65864549501126,-0.316568968133829,-0.38461656127383,0.721675243759347,0.854696038273584
ENST00000474036.1,FN1-219,retained intron,NA,5,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,4.78415341528325,-0.00490164137377534,-0.0100157909293779,0.992527118207151,0.996232439084613
ENST00000494446.1,FN1-225,retained intron,NA,4,retained_intron,,vsmc_C224Y_cluster_CAD_vs_ISO,3.29989120084061,0.00328752708512456,0.00712345805603004,0.994685060866895,0.997172651912816
ENST00000471193.1,FN1-217,retained intron,NA,2,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,-2.20066677648487,-5.57100036029126,-3.95942928140938,0.00415467202668563,0.120450072819393
ENST00000456923.5,,(unannotated),NA,NA,protein_coding,,vsmc_pooled_CAD_vs_nonCAD,10.4113328975522,-1.04397700752768,-2.20800272792247,0.05816093573887,0.39606835816051
ENST00000446046.5,FN1-212,FN1 46-exon isoform,2330,46,protein_coding,Single extra domain included,vsmc_pooled_CAD_vs_nonCAD,9.53774294475416,-0.857777607949542,-1.88701039296975,0.0957526131291904,0.48200867531182
ENST00000460217.1,FN1-214,retained intron,NA,4,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,2.24461304035186,-1.65777178391538,-1.74302198614302,0.119378236288148,0.52315387361209
ENST00000443816.5,FN1-211,FN1 45-exon isoform,2265,45,protein_coding,45-exon protein-coding FN1,vsmc_pooled_CAD_vs_nonCAD,3.61466309891548,4.32425411073904,1.58066138578824,0.152494946285803,0.545859473007299
ENST00000496542.1,FN1-226,retained intron,NA,2,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,1.00706499680697,-0.887977855447735,-1.42994691912377,0.190489214197971,0.597844963768344
ENST00000492816.6,FN1-224,retained intron,NA,19,retained_intron,Long retained-intron variant,vsmc_pooled_CAD_vs_nonCAD,4.57687001481371,-0.452034394890843,-1.37404941594432,0.206578917324957,0.622905535866772
ENST00000473614.1,FN1-218,retained intron,NA,2,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,2.6557709152454,-0.496594384842896,-1.21560694142738,0.258683891412419,0.663610601249174
ENST00000354785.11,FN1-203,FN1 canonical (MANE Select),2477,46,protein_coding,MANE Select reference; longest canonical V region; defines FN1 contig for downstream cross-referencing,vsmc_pooled_CAD_vs_nonCAD,7.7389427631291,3.10728105975108,1.20124501722258,0.263908165496624,0.663610601249174
ENST00000480024.1,FN1-220,retained intron,NA,2,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,4.24745181742936,-0.787703482116157,-1.17714266241764,0.272870623759789,0.663610601249174
ENST00000461974.1,FN1-215,retained intron,NA,3,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,7.78056147481749,-1.13048080118458,-1.03427154381052,0.331169177705392,0.691111679913404
ENST00000494446.1,FN1-225,retained intron,NA,4,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,5.79567034534073,-3.52017128964947,-0.980660217769118,0.355396974127088,0.71466201333478
ENST00000474036.1,FN1-219,retained intron,NA,5,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,5.48928733126688,-1.0880594219771,-0.908741856877595,0.389962138181749,0.745575736757381
ENST00000421182.5,FN1-207,FN1 45-exon isoform,2240,45,protein_coding,45-exon protein-coding FN1; V-region variant,vsmc_pooled_CAD_vs_nonCAD,-0.607920781795069,-1.12134394978379,-0.865099122669116,0.412098073618998,0.763086346734014
ENST00000498719.1,FN1-227,retained intron,NA,2,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,3.39465237793407,-1.19428071571964,-0.862466807386904,0.413461256511437,0.76403446160071
ENST00000336916.8,FN1-202,FN1 46-exon isoform,2355,46,protein_coding,Single extra domain included (EDA or EDB); intermediate cellular/plasma,vsmc_pooled_CAD_vs_nonCAD,0.900892197023292,-10.0573518294661,-0.560870064543947,0.590198894492582,0.861881290955512
ENST00000469569.1,FN1-216,retained intron,NA,2,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,2.25855210591299,-0.267566266543885,-0.426131657581509,0.681211923155384,0.89718067064482
ENST00000426059.1,FN1-208,FN1 truncated (N-terminal),657,13,protein_coding,Short N-terminal fragment; ends early; regulatory or secreted truncation,vsmc_pooled_CAD_vs_nonCAD,2.50932891419752,-0.343226172281527,-0.407666093103077,0.69417806363328,0.90213531573605
ENST00000485567.1,FN1-222,retained intron,NA,2,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,-0.0607729506209303,0.737043478548383,0.354694023932671,0.731959716433348,0.915821728951814
ENST00000323926.10,FN1-201,FN1 cellular (EDA+ EDB+),2446,47,protein_coding,Includes both extra type-III domains EDA (EIIIA) and EDB (EIIIB); marker of activated / remodeling endothelium,vsmc_pooled_CAD_vs_nonCAD,10.9094453576518,-0.130062026913746,-0.223254666345243,0.828915611899432,0.95134179462518
ENST00000480737.1,,(unannotated),NA,NA,retained_intron,,vsmc_pooled_CAD_vs_nonCAD,-0.906846179542201,0.598618944454961,0.136836487869567,0.894530843103157,0.972463745690097
ENST00000490833.5,,(unannotated),NA,NA,protein_coding_CDS_not_defined,,vsmc_pooled_CAD_vs_nonCAD,-4.41593564672852,0.203656985703151,0.111110417864062,0.914257573499617,0.978329870796357
ENST00000432072.6,FN1-209,FN1 45-exon isoform,2267,45,protein_coding,45-exon protein-coding FN1,vsmc_pooled_CAD_vs_nonCAD,7.10942373640249,-0.00567577422266824,-0.00926620571174288,0.992832965423123,0.998467947221285
