ensembl_id,gene_name,gene_type,chromosome,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000002079.14,MYH16,transcribed_unitary_pseudogene,chr7,1,0,5,2,0,2,3
ENSG00000002330.14,BAD,protein_coding,chr11,1153,765,798,866,1190,930,826
ENSG00000002549.13,LAP3,protein_coding,chr4,1465,849,1462,1762,1625,1259,1088
ENSG00000002586.20,CD99,protein_coding,chrX,0,0,0,0,0,2,0
ENSG00000002587.10,HS3ST1,protein_coding,chr4,13,22,52,8,58,20,14
ENSG00000002726.21,AOC1,protein_coding,chr7,1,0,0,0,7,0,0
ENSG00000002745.13,WNT16,protein_coding,chr7,7,26,4,0,4,4,0
ENSG00000002746.15,HECW1,protein_coding,chr7,215,5,60,230,209,200,68
ENSG00000002822.16,MAD1L1,protein_coding,chr7,4,3,5,3,2,2,5
ENSG00000002834.19,LASP1,protein_coding,chr17,17238,11948,14876,17886,13588,15185,14788
ENSG00000002919.15,SNX11,protein_coding,chr17,906,284,595,774,471,519,524
ENSG00000002933.9,TMEM176A,protein_coding,chr7,15,70,1,1,994,5,8
ENSG00000003056.8,M6PR,protein_coding,chr12,3959,1936,4069,3309,2183,2736,2604
ENSG00000003096.15,KLHL13,protein_coding,chrX,33,59,54,38,41,40,50
ENSG00000003137.9,CYP26B1,protein_coding,chr2,55,101,68,57,43,39,15
ENSG00000003147.19,ICA1,protein_coding,chr7,166,18,142,86,74,103,57
ENSG00000003249.15,DBNDD1,protein_coding,chr16,212,116,330,617,512,129,107
ENSG00000003393.16,ALS2,protein_coding,chr2,2748,2123,2166,2944,3257,1856,3545
ENSG00000003400.16,CASP10,protein_coding,chr2,10,11,4,9,4,20,9
ENSG00000003402.21,CFLAR,protein_coding,chr2,3315,919,3179,2841,1412,3815,1829
ENSG00000003436.16,TFPI,protein_coding,chr2,3671,2063,2160,1194,786,2258,1386
ENSG00000003509.16,NDUFAF7,protein_coding,chr2,535,356,588,421,429,313,299
ENSG00000003756.17,RBM5,protein_coding,chr3,3271,4091,3481,3102,3956,1774,1840
ENSG00000003987.14,MTMR7,protein_coding,chr8,6,14,6,2,16,2,3
ENSG00000003989.18,SLC7A2,protein_coding,chr8,168,1244,174,166,101,161,156
ENSG00000004059.11,ARF5,protein_coding,chr7,2376,2080,1725,1867,2681,1950,2108
ENSG00000004139.14,SARM1,protein_coding,chr17,612,655,696,405,972,805,862
ENSG00000004142.12,POLDIP2,protein_coding,chr17,3010,2086,2436,2649,2841,2292,2321
ENSG00000004399.13,PLXND1,protein_coding,chr3,24982,8776,21537,17260,7456,20988,22904
ENSG00000004455.18,AK2,protein_coding,chr1,2226,1895,1947,2163,2191,1629,1444
ENSG00000004468.13,CD38,protein_coding,chr4,1,1,27,3,3,5,10
ENSG00000004478.8,FKBP4,protein_coding,chr12,2557,2266,2918,2893,2380,1836,1917
ENSG00000004487.18,KDM1A,protein_coding,chr1,4737,5269,3686,5124,7017,3808,3908
ENSG00000004534.15,RBM6,protein_coding,chr3,1944,2439,2073,2148,2668,1194,1168
ENSG00000004660.15,CAMKK1,protein_coding,chr17,367,232,279,471,391,316,256
ENSG00000004700.16,RECQL,protein_coding,chr12,2537,2135,1769,2387,2325,2336,2099
ENSG00000004766.17,VPS50,protein_coding,chr7,948,628,616,599,842,719,536
ENSG00000004776.13,HSPB6,protein_coding,chr19,333,10,42,112,27,238,42
ENSG00000004777.19,ARHGAP33,protein_coding,chr19,231,637,318,474,1616,221,229
ENSG00000004779.10,NDUFAB1,protein_coding,chr16,1485,886,915,924,1186,879,827
ENSG00000004799.8,PDK4,protein_coding,chr7,20,16,11,5,15,10,17
ENSG00000004809.14,SLC22A16,protein_coding,chr6,0,1,0,0,0,0,0
ENSG00000004838.14,ZMYND10,protein_coding,chr3,10,19,8,6,35,4,5
ENSG00000004846.17,ABCB5,protein_coding,chr7,1,5,1,3,0,0,0
ENSG00000004848.8,ARX,protein_coding,chrX,0,0,3,0,10,0,0
ENSG00000004864.14,SLC25A13,protein_coding,chr7,2449,1107,1704,1919,1687,2076,1993
ENSG00000004866.22,ST7,protein_coding,chr7,1695,1324,1268,1984,1398,1054,1136
ENSG00000004897.12,CDC27,protein_coding,chr17,2986,2842,2390,3011,3274,2976,2585
ENSG00000004939.16,SLC4A1,protein_coding,chr17,2,0,0,0,0,0,1
ENSG00000004948.16,CALCR,protein_coding,chr7,2293,122,1080,498,403,2300,882
ENSG00000004961.15,HCCS,protein_coding,chrX,905,551,738,789,643,644,611
ENSG00000004975.12,DVL2,protein_coding,chr17,1346,2175,1123,1386,2981,779,1024
ENSG00000005001.10,PRSS22,protein_coding,chr16,1,0,1,1,0,1,0
ENSG00000005007.14,UPF1,protein_coding,chr19,2758,2922,2964,2894,4508,2962,3373
ENSG00000005020.13,SKAP2,protein_coding,chr7,380,213,261,240,277,459,334
ENSG00000005022.6,SLC25A5,protein_coding,chrX,3981,3775,3941,4231,3198,2495,2275
ENSG00000005059.16,MCUB,protein_coding,chr4,261,16,283,170,104,212,456
ENSG00000005073.6,HOXA11,protein_coding,chr7,0,0,0,0,5,2,2
ENSG00000005075.16,POLR2J,protein_coding,chr7,596,488,466,506,805,596,579
ENSG00000005100.13,DHX33,protein_coding,chr17,980,771,935,1000,930,910,974
ENSG00000005102.14,MEOX1,protein_coding,chr17,39,55,36,184,148,17,10
ENSG00000005108.17,THSD7A,protein_coding,chr7,244,2524,102,105,755,134,216
ENSG00000005156.12,LIG3,protein_coding,chr17,1098,1549,763,1171,1899,874,890
ENSG00000005175.10,RPAP3,protein_coding,chr12,1131,879,700,991,1294,859,933
ENSG00000005187.12,ACSM3,protein_coding,chr16,1371,90,448,1009,43,1424,894
ENSG00000005189.20,REXO5,protein_coding,chr16,92,145,61,102,50,30,28
ENSG00000005194.15,CIAPIN1,protein_coding,chr16,1967,1180,1459,1695,1479,1258,1170
ENSG00000005206.17,SPPL2B,protein_coding,chr19,1233,1019,1262,1021,1832,967,962
ENSG00000005238.20,ATOSB,protein_coding,chr9,4218,804,2533,3130,2504,4262,3962
ENSG00000005243.10,COPZ2,protein_coding,chr17,878,443,234,334,643,919,490
ENSG00000005249.14,PRKAR2B,protein_coding,chr7,368,296,224,210,516,391,416
ENSG00000005302.19,MSL3,protein_coding,chrX,817,740,740,885,1014,682,784
ENSG00000005339.15,CREBBP,protein_coding,chr16,2773,5092,1370,2330,5958,2866,2943
ENSG00000005379.17,TSPOAP1,protein_coding,chr17,312,375,137,121,745,130,93
ENSG00000005381.9,MPO,protein_coding,chr17,0,0,0,0,0,0,0
ENSG00000005421.9,PON1,protein_coding,chr7,4,0,2,0,0,1,2
ENSG00000005436.14,GCFC2,protein_coding,chr2,341,253,186,250,527,228,248
ENSG00000005448.17,WDR54,protein_coding,chr2,164,229,227,199,229,127,153
ENSG00000005469.12,CROT,protein_coding,chr7,333,249,346,361,378,374,234
ENSG00000005471.19,ABCB4,protein_coding,chr7,96,79,147,94,334,66,100
ENSG00000005483.23,KMT2E,protein_coding,chr7,2375,2561,1221,1917,3836,2068,2221
ENSG00000005486.17,RHBDD2,protein_coding,chr7,2178,1262,1696,1640,2283,1846,2044
ENSG00000005513.10,SOX8,protein_coding,chr16,15,126,54,39,305,32,54
ENSG00000005700.15,IBTK,protein_coding,chr6,3189,1948,1890,2960,2581,2791,2703
ENSG00000005801.18,ZNF195,protein_coding,chr11,781,569,1055,841,933,748,681
ENSG00000005810.20,MYCBP2,protein_coding,chr13,1938,2600,1125,1706,2449,2588,2116
ENSG00000005812.11,FBXL3,protein_coding,chr13,1676,1015,1094,1311,1541,1496,1493
ENSG00000005844.19,ITGAL,protein_coding,chr16,0,0,1,0,27,22,27
ENSG00000005882.12,PDK2,protein_coding,chr17,1435,1465,642,816,1908,883,994
ENSG00000005884.18,ITGA3,protein_coding,chr17,13478,1031,27128,11552,1924,22460,14780
ENSG00000005889.16,ZFX,protein_coding,chrX,742,1346,1089,833,1578,1258,1303
ENSG00000005893.17,LAMP2,protein_coding,chrX,9574,6369,8179,6375,7381,7323,6531
ENSG00000005961.19,ITGA2B,protein_coding,chr17,14,65,16,12,42,7,9
ENSG00000005981.13,ASB4,protein_coding,chr7,1,6,3,8,4,2,1
ENSG00000006007.12,GDE1,protein_coding,chr16,4729,2118,3464,3022,3776,3864,2864
ENSG00000006015.18,REX1BD,protein_coding,chr19,612,268,575,499,715,479,458
ENSG00000006016.12,CRLF1,protein_coding,chr19,1068,10,425,731,367,1500,2292
ENSG00000006025.13,OSBPL7,protein_coding,chr17,672,409,688,568,616,410,486
ENSG00000006042.12,TMEM98,protein_coding,chr17,3527,2930,4786,2494,4198,2442,2130
ENSG00000006047.13,YBX2,protein_coding,chr17,6,26,4,3,53,1,3
ENSG00000006059.4,KRT33A,protein_coding,chr17,0,0,0,0,0,0,0
ENSG00000006062.18,MAP3K14,protein_coding,chr17,287,430,348,436,270,253,317
ENSG00000006071.16,ABCC8,protein_coding,chr11,0,0,0,2,1,2,0
ENSG00000006116.4,CACNG3,protein_coding,chr16,0,0,0,0,0,0,0
ENSG00000006118.15,TMEM132A,protein_coding,chr11,8267,6573,11104,6095,12672,5918,5944
ENSG00000006125.18,AP2B1,protein_coding,chr17,12008,8786,11153,12422,9373,12132,9518
ENSG00000006128.12,TAC1,protein_coding,chr7,1,62,3,3,21,3,1
ENSG00000006194.11,ZNF263,protein_coding,chr16,472,376,316,413,539,387,338
ENSG00000006210.7,CX3CL1,protein_coding,chr16,1700,568,2094,1544,1361,1458,627
ENSG00000006282.22,SPATA20,protein_coding,chr17,1272,1152,1100,821,1022,611,481
ENSG00000006283.18,CACNA1G,protein_coding,chr17,1,417,2,9,1808,5,1
ENSG00000006327.14,TNFRSF12A,protein_coding,chr16,5490,778,9112,4528,1733,6005,5952
ENSG00000006377.11,DLX6,protein_coding,chr7,133,0,13,0,1,59,2
ENSG00000006432.16,MAP3K9,protein_coding,chr14,1606,315,572,903,719,1458,1183
ENSG00000006451.8,RALA,protein_coding,chr7,1863,1191,1149,1661,1778,1951,1463
ENSG00000006453.14,BAIAP2L1,protein_coding,chr7,1031,461,704,931,308,1051,470
ENSG00000006459.11,KDM7A,protein_coding,chr7,267,282,105,268,484,201,198
ENSG00000006468.15,ETV1,protein_coding,chr7,717,160,263,259,816,831,671
ENSG00000006530.18,AGK,protein_coding,chr7,773,680,732,725,747,618,604
ENSG00000006534.17,ALDH3B1,protein_coding,chr11,138,114,99,125,33,110,94
ENSG00000006555.11,TTC22,protein_coding,chr1,1,0,0,0,0,1,0
ENSG00000006576.17,PHTF2,protein_coding,chr7,2394,1773,1701,1743,2898,2217,2112
ENSG00000006606.9,CCL26,protein_coding,chr7,0,0,3,0,0,2,0
ENSG00000006607.14,FARP2,protein_coding,chr2,1705,1372,1265,2145,1562,1749,1534
ENSG00000006611.17,USH1C,protein_coding,chr11,1,14,0,0,15,0,0
ENSG00000006625.18,GGCT,protein_coding,chr7,308,343,317,424,406,260,290
ENSG00000006634.8,DBF4,protein_coding,chr7,349,677,403,590,814,196,317
ENSG00000006638.13,TBXA2R,protein_coding,chr19,42,45,86,66,71,42,36
ENSG00000006652.15,IFRD1,protein_coding,chr7,352,146,387,366,280,332,327
ENSG00000006659.13,LGALS14,protein_coding,chr19,0,0,0,0,0,0,0
ENSG00000006695.12,COX10,protein_coding,chr17,330,253,315,316,400,326,325
ENSG00000006704.11,GTF2IRD1,protein_coding,chr7,642,984,608,585,1484,422,590
ENSG00000006712.15,PAF1,protein_coding,chr19,2528,1790,2296,2330,2123,1698,1699
ENSG00000006715.16,VPS41,protein_coding,chr7,4032,2231,2166,2252,3427,2921,2118
ENSG00000006740.18,ARHGAP44,protein_coding,chr17,148,46,78,60,195,117,129
ENSG00000006744.19,ELAC2,protein_coding,chr17,2814,1699,3155,2893,2206,2213,2104
ENSG00000006747.15,SCIN,protein_coding,chr7,7,16,4,11,39,3,12
ENSG00000006756.16,ARSD,protein_coding,chrX,784,947,853,395,1122,1490,806
ENSG00000006757.12,PNPLA4,protein_coding,chrX,401,357,258,202,402,378,278
ENSG00000006788.14,MYH13,protein_coding,chr17,0,0,2,6,0,0,0
ENSG00000006831.10,ADIPOR2,protein_coding,chr12,3047,2218,2514,2730,2564,2282,1950
ENSG00000006837.12,CDKL3,protein_coding,chr5,10,16,4,15,26,16,17
ENSG00000007001.13,UPP2,protein_coding,chr2,2,0,0,0,4,0,1
ENSG00000007038.11,PRSS21,protein_coding,chr16,0,0,0,0,0,0,0
ENSG00000007047.16,MARK4,protein_coding,chr19,1677,1851,1221,1454,3111,1628,2084
ENSG00000007062.12,PROM1,protein_coding,chr4,1538,229,1728,3720,593,1365,607
ENSG00000007080.11,CCDC124,protein_coding,chr19,1631,1003,1621,1455,1979,1547,1693
ENSG00000007129.18,CEACAM21,protein_coding,chr19,13,4,6,20,23,50,45
ENSG00000007168.14,PAFAH1B1,protein_coding,chr17,7511,5364,4829,6428,7251,6506,6025
ENSG00000007171.19,NOS2,protein_coding,chr17,2,6,2,1,15,2,7
ENSG00000007174.18,DNAH9,protein_coding,chr17,19,18,9,10,134,16,15
ENSG00000007202.16,BLTP2,protein_coding,chr17,9234,7241,8471,7453,7657,7788,6278
ENSG00000007216.16,SLC13A2,protein_coding,chr17,0,0,0,0,0,0,0
ENSG00000007237.19,GAS7,protein_coding,chr17,870,404,438,447,1891,552,666
ENSG00000007255.10,TRAPPC6A,protein_coding,chr19,240,185,100,115,283,100,111
ENSG00000007264.15,MATK,protein_coding,chr19,2,1,2,0,13,8,10
ENSG00000007306.15,CEACAM7,protein_coding,chr19,0,0,0,0,0,0,0
ENSG00000007312.14,CD79B,protein_coding,chr17,2,21,2,4,3,0,1
ENSG00000007314.12,SCN4A,protein_coding,chr17,0,7,1,1,16,1,0
ENSG00000007341.19,ST7L,protein_coding,chr1,263,284,352,290,327,274,238
ENSG00000007350.18,TKTL1,protein_coding,chrX,4,2,0,0,5,0,1
ENSG00000007372.25,PAX6,protein_coding,chr11,1894,42,1836,1638,403,404,3943
ENSG00000007376.8,RPUSD1,protein_coding,chr16,882,468,882,811,915,723,963
ENSG00000007384.15,RHBDF1,protein_coding,chr16,2298,1386,2508,1476,1144,1700,1327
ENSG00000007392.17,LUC7L,protein_coding,chr16,1308,1529,1894,1333,1631,727,752
ENSG00000007402.12,CACNA2D2,protein_coding,chr3,58,487,20,68,344,62,67
ENSG00000007516.15,BAIAP3,protein_coding,chr16,40,12,38,33,74,35,24
ENSG00000007520.4,TSR3,protein_coding,chr16,1332,856,1233,1073,1696,1351,1314
ENSG00000007541.17,PIGQ,protein_coding,chr16,1261,1189,1281,1110,2044,709,1062
ENSG00000007545.16,CRAMP1,protein_coding,chr16,473,561,391,448,790,344,378
ENSG00000007866.22,TEAD3,protein_coding,chr6,4141,2564,3351,4161,4045,3339,3230
ENSG00000007908.16,SELE,protein_coding,chr1,0,0,0,0,0,0,0
ENSG00000007923.17,DNAJC11,protein_coding,chr1,2161,1657,2052,2103,2287,2032,1884
ENSG00000007933.13,FMO3,protein_coding,chr1,1,4,1,0,1,1,0
ENSG00000007944.15,MYLIP,protein_coding,chr6,677,1764,319,484,1875,485,484
ENSG00000007952.18,NOX1,protein_coding,chrX,1,1,0,0,0,0,2
ENSG00000007968.7,E2F2,protein_coding,chr1,40,216,31,39,228,5,16
ENSG00000008018.9,PSMB1,protein_coding,chr6,4183,2382,3278,3894,3121,2496,2294
ENSG00000008056.14,SYN1,protein_coding,chrX,94,45,42,46,188,101,208
ENSG00000008083.14,JARID2,protein_coding,chr6,808,933,580,785,1686,873,1146
ENSG00000008086.13,CDKL5,protein_coding,chrX,529,364,458,550,514,662,519
ENSG00000008118.10,CAMK1G,protein_coding,chr1,13,25,5,4,15,9,17
ENSG00000008128.23,CDK11A,protein_coding,chr1,62,22,186,79,87,27,98
ENSG00000008130.15,NADK,protein_coding,chr1,2320,1391,1794,1827,2242,1825,1872
ENSG00000008196.13,TFAP2B,protein_coding,chr6,102,705,26,207,3551,161,75
ENSG00000008197.5,TFAP2D,protein_coding,chr6,0,0,0,0,0,0,0
ENSG00000008226.20,DLEC1,protein_coding,chr3,6,7,11,11,27,13,3
ENSG00000008256.17,CYTH3,protein_coding,chr7,1110,1385,809,1391,4736,915,1044
ENSG00000008277.15,ADAM22,protein_coding,chr7,1206,1992,137,236,2997,303,510
ENSG00000008282.10,SYPL1,protein_coding,chr7,2006,1395,2697,1507,1217,1638,1309
ENSG00000008283.16,CYB561,protein_coding,chr17,266,194,289,294,380,466,299
ENSG00000008294.22,SPAG9,protein_coding,chr17,5034,4745,3301,4098,5922,3788,3567
ENSG00000008300.17,CELSR3,protein_coding,chr3,868,539,517,599,630,799,582
ENSG00000008311.16,AASS,protein_coding,chr7,731,1692,882,854,1196,608,458
ENSG00000008323.16,PLEKHG6,protein_coding,chr12,25,32,33,7,13,12,5
ENSG00000008324.12,SS18L2,protein_coding,chr3,292,152,248,251,235,219,209
ENSG00000008382.16,MPND,protein_coding,chr19,418,446,261,226,444,226,186
ENSG00000008394.13,MGST1,protein_coding,chr12,2027,623,2373,1694,413,910,1430
ENSG00000008405.12,CRY1,protein_coding,chr12,623,670,582,795,983,648,613
ENSG00000008438.5,PGLYRP1,protein_coding,chr19,0,0,0,0,0,0,0
ENSG00000008441.19,NFIX,protein_coding,chr19,17,316,28,11,329,107,66
ENSG00000008513.17,ST3GAL1,protein_coding,chr8,866,726,1059,1067,1222,1418,1280
ENSG00000008516.18,MMP25,protein_coding,chr16,24,120,15,140,148,25,35
ENSG00000008517.19,IL32,protein_coding,chr16,800,74,3550,878,27,721,913
ENSG00000008710.20,PKD1,protein_coding,chr16,5087,3964,4948,4198,4658,4338,4076
ENSG00000008735.14,MAPK8IP2,protein_coding,chr22,226,185,145,132,291,484,307
ENSG00000008838.21,MED24,protein_coding,chr17,2509,2475,2412,2472,3055,1932,2211
ENSG00000008853.18,RHOBTB2,protein_coding,chr8,799,1257,536,853,1473,702,638
ENSG00000008869.12,HEATR5B,protein_coding,chr2,973,922,900,993,1137,858,843
ENSG00000008952.17,SEC62,protein_coding,chr3,4704,3818,4769,3537,4426,4558,3080
ENSG00000008988.11,RPS20,protein_coding,chr8,13166,10166,8248,9696,12652,7501,7299
ENSG00000009307.17,CSDE1,protein_coding,chr1,18316,13780,12895,16316,18885,15514,13918
ENSG00000009335.19,UBE3C,protein_coding,chr7,4288,2459,3218,3690,3350,3818,3551
ENSG00000009413.17,REV3L,protein_coding,chr6,1092,1050,597,924,1765,1245,919
ENSG00000009694.14,TENM1,protein_coding,chrX,105,143,34,28,244,48,61
ENSG00000009709.12,PAX7,protein_coding,chr1,10,0,0,4,31,13,14
ENSG00000009724.18,MASP2,protein_coding,chr1,7,1,7,12,1,0,0
ENSG00000009765.15,IYD,protein_coding,chr6,0,0,0,0,0,0,0
ENSG00000009780.16,FAM76A,protein_coding,chr1,199,166,145,165,268,107,105
ENSG00000009790.15,TRAF3IP3,protein_coding,chr1,0,4,0,0,10,1,6
ENSG00000009830.13,POMT2,protein_coding,chr14,2505,1561,2046,2480,2542,1948,2335
ENSG00000009844.16,VTA1,protein_coding,chr6,2263,1397,1688,1731,2144,1953,1719
ENSG00000009950.16,MLXIPL,protein_coding,chr7,5,3,7,3,1,0,1
ENSG00000009954.11,BAZ1B,protein_coding,chr7,4297,4802,2995,4716,5344,3756,3378
ENSG00000010017.13,RANBP9,protein_coding,chr6,2141,1574,1433,1717,2410,1788,1622
ENSG00000010030.14,ETV7,protein_coding,chr6,4,2,7,6,0,2,1
ENSG00000010072.16,SPRTN,protein_coding,chr1,570,357,440,532,749,529,489
ENSG00000010165.20,METTL13,protein_coding,chr1,960,733,967,994,1031,760,750
ENSG00000010219.14,DYRK4,protein_coding,chr12,640,464,415,475,687,398,319
ENSG00000010244.19,ZNF207,protein_coding,chr17,4185,3952,3753,4204,5037,3592,4021
ENSG00000010256.11,UQCRC1,protein_coding,chr3,5604,3127,4875,5728,3886,3687,3297
ENSG00000010270.14,STARD3NL,protein_coding,chr7,2608,1086,2100,2038,1622,2038,1941
ENSG00000010278.15,CD9,protein_coding,chr12,283,36,523,225,161,194,40
ENSG00000010282.15,HHATL,protein_coding,chr3,2,0,0,1,0,0,0
ENSG00000010292.13,NCAPD2,protein_coding,chr12,1383,4603,1923,2657,3454,1246,1419
ENSG00000010295.20,IFFO1,protein_coding,chr12,976,817,959,1117,1170,574,636
ENSG00000010310.9,GIPR,protein_coding,chr19,201,101,173,97,165,94,111
ENSG00000010318.22,PHF7,protein_coding,chr3,92,77,55,62,128,61,60
ENSG00000010319.7,SEMA3G,protein_coding,chr3,85,39,24,30,24,35,21
ENSG00000010322.16,NISCH,protein_coding,chr3,7073,5984,5352,5029,6388,4393,4493
ENSG00000010327.10,STAB1,protein_coding,chr3,6,4,7,6,5,3,3
ENSG00000010361.14,FUZ,protein_coding,chr19,275,294,161,196,317,105,124
ENSG00000010379.16,SLC6A13,protein_coding,chr12,15,6,14,38,8,12,7
ENSG00000010404.18,IDS,protein_coding,chrX,1194,322,409,687,1055,1267,1306
ENSG00000010438.17,PRSS3,protein_coding,chr9,0,0,1,9,2,5,1
ENSG00000010539.12,ZNF200,protein_coding,chr16,351,295,304,299,354,267,242
ENSG00000010610.10,CD4,protein_coding,chr12,37,586,25,90,197,47,38
ENSG00000010626.15,LRRC23,protein_coding,chr12,135,110,78,86,152,82,77
ENSG00000010671.18,BTK,protein_coding,chrX,4,1,3,2,2,2,6
ENSG00000010704.19,HFE,protein_coding,chr6,453,330,272,195,249,207,64
ENSG00000010803.17,SCMH1,protein_coding,chr1,1472,1190,534,707,1083,732,587
ENSG00000010810.18,FYN,protein_coding,chr6,2608,2518,1713,1548,2045,2105,1764
ENSG00000010818.11,HIVEP2,protein_coding,chr6,811,1198,684,586,1982,1210,851
ENSG00000010932.17,FMO1,protein_coding,chr1,2,616,0,2,57,0,0
ENSG00000011007.13,ELOA,protein_coding,chr1,2135,1367,1672,2081,1851,2126,1968
ENSG00000011009.11,LYPLA2,protein_coding,chr1,2480,1100,2677,1998,1959,2331,2714
ENSG00000011021.23,CLCN6,protein_coding,chr1,822,1000,1204,1286,1450,523,867
ENSG00000011028.14,MRC2,protein_coding,chr17,51616,36038,23944,27082,56669,43273,36045
ENSG00000011052.21,NME1-NME2,protein_coding,chr17,16,6,13,10,8,16,13
ENSG00000011083.9,SLC6A7,protein_coding,chr5,1,2,0,1,1,0,1
ENSG00000011105.14,TSPAN9,protein_coding,chr12,3387,3017,2877,3043,3485,2526,3208
ENSG00000011114.15,BTBD7,protein_coding,chr14,1831,1610,1042,1692,2284,2156,1757
ENSG00000011132.12,APBA3,protein_coding,chr19,470,285,568,377,515,368,421
ENSG00000011143.19,MKS1,protein_coding,chr17,349,384,314,369,514,219,237
ENSG00000011198.10,ABHD5,protein_coding,chr3,609,227,463,443,439,574,396
ENSG00000011201.12,ANOS1,protein_coding,chrX,740,134,424,540,2436,2836,1789
ENSG00000011243.19,AKAP8L,protein_coding,chr19,2727,1954,2480,2438,3795,1612,2021
ENSG00000011258.16,MBTD1,protein_coding,chr17,779,1180,444,764,1627,562,737
ENSG00000011260.14,UTP18,protein_coding,chr17,808,587,674,741,851,753,613
ENSG00000011275.19,RNF216,protein_coding,chr7,2774,2354,2205,2488,2984,2814,2661
ENSG00000011295.16,TTC19,protein_coding,chr17,1008,770,1267,877,1209,824,754
ENSG00000011304.22,PTBP1,protein_coding,chr19,7573,7502,6878,8626,12172,8025,8661
ENSG00000011332.22,DPF1,protein_coding,chr19,110,86,121,112,291,95,116
ENSG00000011347.10,SYT7,protein_coding,chr11,27,328,8,48,137,36,60
ENSG00000011376.12,LARS2,protein_coding,chr3,1061,988,1042,899,1058,680,739
ENSG00000011405.14,PIK3C2A,protein_coding,chr11,3555,2593,2186,3166,3663,3126,3036
ENSG00000011422.12,PLAUR,protein_coding,chr19,984,391,3246,1843,545,1954,1418
ENSG00000011426.11,ANLN,protein_coding,chr7,1148,4855,3026,3280,1957,724,894
ENSG00000011451.21,WIZ,protein_coding,chr19,3160,2447,2182,2646,5182,3191,3470
ENSG00000011454.18,RABGAP1,protein_coding,chr9,2708,2380,1784,2304,3234,1922,2064
ENSG00000011465.18,DCN,protein_coding,chr12,302,11634,10,136,4113,793,339
ENSG00000011478.13,QPCTL,protein_coding,chr19,773,351,802,620,336,682,479
ENSG00000011485.15,PPP5C,protein_coding,chr19,2318,1802,2218,2434,2320,1875,2042
ENSG00000011523.15,CEP68,protein_coding,chr2,486,904,471,416,993,364,391
ENSG00000011566.15,MAP4K3,protein_coding,chr2,2259,1483,1077,1630,2290,2099,1997
ENSG00000011590.14,ZBTB32,protein_coding,chr19,0,0,0,0,0,0,0
ENSG00000011600.12,TYROBP,protein_coding,chr19,2,0,0,0,7,6,1
ENSG00000011638.11,LDAF1,protein_coding,chr16,377,353,468,312,311,324,304
ENSG00000011677.13,GABRA3,protein_coding,chrX,76,6,42,36,59,139,69
ENSG00000012048.25,BRCA1,protein_coding,chr17,190,689,295,420,551,123,181
ENSG00000012061.17,ERCC1,protein_coding,chr19,1890,1450,1239,1485,1997,1122,1287
ENSG00000012124.17,CD22,protein_coding,chr19,0,0,0,1,0,2,2
ENSG00000012171.20,SEMA3B,protein_coding,chr3,346,804,180,153,340,159,169
ENSG00000012174.12,MBTPS2,protein_coding,chrX,1300,1003,1096,1082,1302,1066,1020
ENSG00000012211.13,PRICKLE3,protein_coding,chrX,190,127,208,230,147,174,190
ENSG00000012223.13,LTF,protein_coding,chr3,0,0,1,0,1,1,6
